date_order,day_of_week_order,date_wh_receive,day_of_week_wh_receive,CW,items
2022-01-01,6,2022-01-01,6,52,18338
2022-01-01,6,2022-01-02,7,52,408
2022-01-01,6,2022-01-03,1,1,2551
2022-01-01,6,2022-01-04,2,1,11965
2022-01-01,6,2022-01-05,3,1,180
2022-01-01,6,2022-01-06,4,1,10
2022-01-01,6,2022-01-07,5,1,12
2022-01-01,6,2022-01-08,6,1,96
2022-01-01,6,2022-01-09,7,1,1
2022-01-01,6,2022-01-10,1,2,13
2022-01-01,6,2022-01-11,2,2,10
2022-01-01,6,2022-01-12,3,2,30
2022-01-02,7,2022-01-02,7,52,26711
2022-01-02,7,2022-01-03,1,1,3537
2022-01-02,7,2022-01-04,2,1,21783
2022-01-02,7,2022-01-05,3,1,279
2022-01-02,7,2022-01-06,4,1,40
2022-01-02,7,2022-01-07,5,1,92
2022-01-02,7,2022-01-08,6,1,15
2022-01-02,7,2022-01-09,7,1,49
2022-01-02,7,2022-01-10,1,2,8
2022-01-02,7,2022-01-11,2,2,8
2022-01-02,7,2022-01-12,3,2,7
2022-01-03,1,2022-01-03,1,1,26397
2022-01-03,1,2022-01-04,2,1,22996
2022-01-03,1,2022-01-05,3,1,39937
2022-01-03,1,2022-01-06,4,1,136
2022-01-03,1,2022-01-07,5,1,217
2022-01-03,1,2022-01-08,6,1,206
2022-01-03,1,2022-01-10,1,2,125
2022-01-03,1,2022-01-11,2,2,36
2022-01-03,1,2022-01-12,3,2,55
2022-01-03,1,2022-01-13,4,2,7
2022-01-04,2,2022-01-04,2,1,37005
2022-01-04,2,2022-01-05,3,1,24346
2022-01-04,2,2022-01-06,4,1,21619
2022-01-04,2,2022-01-07,5,1,356
2022-01-04,2,2022-01-08,6,1,198
2022-01-04,2,2022-01-10,1,2,77
2022-01-04,2,2022-01-11,2,2,86
2022-01-04,2,2022-01-12,3,2,105
2022-01-04,2,2022-01-13,4,2,12
2022-01-04,2,2022-01-14,5,2,5
2022-01-04,2,2022-01-15,6,2,7
2022-01-04,2,2022-01-17,1,3,11
2022-01-04,2,2022-01-18,2,3,4
2022-01-05,3,2022-01-05,3,1,28878
2022-01-05,3,2022-01-06,4,1,8926
2022-01-05,3,2022-01-07,5,1,17464
2022-01-05,3,2022-01-08,6,1,11158
2022-01-05,3,2022-01-09,7,1,5
2022-01-05,3,2022-01-10,1,2,106
2022-01-05,3,2022-01-11,2,2,120
2022-01-05,3,2022-01-12,3,2,62
2022-01-05,3,2022-01-13,4,2,74
2022-01-05,3,2022-01-14,5,2,14
2022-01-05,3,2022-01-15,6,2,8
2022-01-05,3,2022-01-20,4,3,3
2022-01-06,4,2022-01-06,4,1,39786
2022-01-06,4,2022-01-07,5,1,16103
2022-01-06,4,2022-01-08,6,1,17458
2022-01-06,4,2022-01-09,7,1,210
2022-01-06,4,2022-01-10,1,2,464
2022-01-06,4,2022-01-11,2,2,272
2022-01-06,4,2022-01-12,3,2,90
2022-01-06,4,2022-01-13,4,2,72
2022-01-06,4,2022-01-14,5,2,82
2022-01-06,4,2022-01-15,6,2,13
2022-01-06,4,2022-01-17,1,3,7
2022-01-06,4,2022-01-18,2,3,8
2022-01-06,4,2022-01-19,3,3,7
2022-01-07,5,2022-01-07,5,1,28527
2022-01-07,5,2022-01-08,6,1,8741
2022-01-07,5,2022-01-09,7,1,12
2022-01-07,5,2022-01-10,1,2,9370
2022-01-07,5,2022-01-11,2,2,2120
2022-01-07,5,2022-01-12,3,2,159
2022-01-07,5,2022-01-13,4,2,96
2022-01-07,5,2022-01-14,5,2,136
2022-01-07,5,2022-01-15,6,2,26
2022-01-07,5,2022-01-17,1,3,10
2022-01-07,5,2022-01-18,2,3,14
2022-01-07,5,2022-01-19,3,3,1
2022-01-07,5,2022-01-20,4,3,9
2022-01-08,6,2022-01-08,6,1,23256
2022-01-08,6,2022-01-09,7,1,235
2022-01-08,6,2022-01-10,1,2,15727
2022-01-08,6,2022-01-11,2,2,3078
2022-01-08,6,2022-01-12,3,2,275
2022-01-08,6,2022-01-13,4,2,57
2022-01-08,6,2022-01-14,5,2,33
2022-01-08,6,2022-01-15,6,2,8
2022-01-08,6,2022-01-16,7,2,12
2022-01-08,6,2022-01-17,1,3,6
2022-01-08,6,2022-01-18,2,3,13
2022-01-08,6,2022-01-19,3,3,5
2022-01-08,6,2022-01-20,4,3,6
2022-01-09,7,2022-01-09,7,1,35268
2022-01-09,7,2022-01-10,1,2,10197
2022-01-09,7,2022-01-11,2,2,17709
2022-01-09,7,2022-01-12,3,2,270
2022-01-09,7,2022-01-13,4,2,82
2022-01-09,7,2022-01-14,5,2,103
2022-01-09,7,2022-01-15,6,2,24
2022-01-09,7,2022-01-16,7,2,15
2022-01-09,7,2022-01-17,1,3,77
2022-01-09,7,2022-01-18,2,3,35
2022-01-09,7,2022-01-19,3,3,25
2022-01-10,1,2022-01-10,1,2,36245
2022-01-10,1,2022-01-11,2,2,19124
2022-01-10,1,2022-01-12,3,2,22243
2022-01-10,1,2022-01-13,4,2,297
2022-01-10,1,2022-01-14,5,2,95
2022-01-10,1,2022-01-15,6,2,86
2022-01-10,1,2022-01-16,7,2,37
2022-01-10,1,2022-01-17,1,3,121
2022-01-10,1,2022-01-18,2,3,93
2022-01-10,1,2022-01-19,3,3,88
2022-01-10,1,2022-01-20,4,3,32
2022-01-10,1,2022-01-25,2,4,1
2022-01-10,1,2022-01-27,4,4,13
2022-01-11,2,2022-01-11,2,2,43875
2022-01-11,2,2022-01-12,3,2,27694
2022-01-11,2,2022-01-13,4,2,19227
2022-01-11,2,2022-01-14,5,2,534
2022-01-11,2,2022-01-15,6,2,123
2022-01-11,2,2022-01-16,7,2,15
2022-01-11,2,2022-01-17,1,3,102
2022-01-11,2,2022-01-18,2,3,78
2022-01-11,2,2022-01-19,3,3,104
2022-01-11,2,2022-01-20,4,3,72
2022-01-11,2,2022-01-21,5,3,23
2022-01-11,2,2022-01-22,6,3,10
2022-01-12,3,2022-01-12,3,2,34423
2022-01-12,3,2022-01-13,4,2,16920
2022-01-12,3,2022-01-14,5,2,18037
2022-01-12,3,2022-01-15,6,2,208
2022-01-12,3,2022-01-16,7,2,37
2022-01-12,3,2022-01-17,1,3,235
2022-01-12,3,2022-01-18,2,3,162
2022-01-12,3,2022-01-19,3,3,98
2022-01-12,3,2022-01-20,4,3,160
2022-01-12,3,2022-01-21,5,3,28
2022-01-12,3,2022-01-22,6,3,7
2022-01-12,3,2022-01-24,1,4,14
2022-01-12,3,2022-01-25,2,4,5
2022-01-12,3,2022-01-26,3,4,1
2022-01-13,4,2022-01-13,4,2,32005
2022-01-13,4,2022-01-14,5,2,26004
2022-01-13,4,2022-01-15,6,2,14567
2022-01-13,4,2022-01-16,7,2,2177
2022-01-13,4,2022-01-17,1,3,609
2022-01-13,4,2022-01-18,2,3,209
2022-01-13,4,2022-01-19,3,3,198
2022-01-13,4,2022-01-20,4,3,101
2022-01-13,4,2022-01-21,5,3,18
2022-01-13,4,2022-01-22,6,3,30
2022-01-13,4,2022-01-23,7,3,1
2022-01-13,4,2022-01-24,1,4,6
2022-01-13,4,2022-01-25,2,4,12
2022-01-14,5,2022-01-14,5,2,36288
2022-01-14,5,2022-01-15,6,2,7379
2022-01-14,5,2022-01-16,7,2,3245
2022-01-14,5,2022-01-17,1,3,15795
2022-01-14,5,2022-01-18,2,3,6362
